chi_target,theta1,sigma,Seed,Closure,mc_mean_hz,bias_hz_50ms,rmse_hz_50ms,crmse_hz_50ms,mc_std_hz_50ms,nrmse_50ms,centered_nrmse_50ms,mc_mean_hz_50ms,closure_mean_hz_50ms,mass_min,mass_final,mass_error_max,tail_mass_max,cum_leak_final,runtime_s,pde_kappa,use_jensen,dr,dt,R_max,dynamic_joint_moments,min_cov_eigenvalue,covariance_projection_total
0.045,2500.0,0.0012,3,variance_corrected,7.379533333333335,0.04858498896873744,0.10612682679723937,0.09435254216479226,0.13436626899805962,0.7898323559075079,0.7022040789579028,7.379533333333335,7.428118322302073,0.9999905517938158,0.9999905517938158,9.448206184203833e-06,9.743839579535775e-06,9.448206184076707e-06,11.356496210995829,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
0.045,2500.0,0.0012,3,joint_gaussian,7.379533333333335,-0.005161621481221029,0.09458515550003938,0.09444421265832664,0.13436626899805962,0.7039352674249315,0.7028863223082462,7.379533333333335,7.374371711852113,0.9999893311122681,0.9999893311122681,1.0668887731934973e-05,1.0744123177895515e-05,1.0668887730297394e-05,32.05810491100419,2.0,False,0.001,0.0001,2.0,True,-4.1359030627651384e-25,5.384060171159707e-12
0.045,2500.0,0.0012,4,mean_only,7.3966666666666665,-0.2700656014116503,0.2822342231134739,0.08198004409995023,0.10063772797329916,2.804457421657564,0.8146054740196528,7.3966666666666665,7.126601065255018,0.9999819815823631,0.9999819815823631,1.801841763693357e-05,1.5761500576501816e-05,1.8018417634639717e-05,8.889076902996749,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
0.045,2500.0,0.0012,4,variance_corrected,7.3966666666666665,0.031081234867324885,0.08773337945929777,0.08204329777910759,0.10063772797329916,0.8717742463599225,0.8152340025092282,7.3966666666666665,7.4277479015339924,0.9999904206006548,0.9999904206006548,9.579399345205353e-06,9.542728577144385e-06,9.579399344540222e-06,9.013725576995057,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
0.045,2500.0,0.0012,4,joint_gaussian,7.3966666666666665,-0.022663960439036363,0.0850973500640506,0.08202380072357879,0.10063772797329916,0.8455809941042024,0.8150402674565651,7.3966666666666665,7.37400270622763,0.9999891845392663,0.9999891845392663,1.081546073367079e-05,1.0523651574331664e-05,1.0815460731265352e-05,28.947963799000718,2.0,False,0.001,0.0001,2.0,True,-4.1359030627651384e-25,5.387480524704835e-12
0.18,1500.0,0.004,0,mean_only,8.159633333333336,-1.0321434896610404,1.0359729990447968,0.08899365988765788,0.10222253063891103,10.134487891952594,0.8705875244080724,8.159633333333336,7.127489843672294,0.9999820128932986,0.9999820128932986,1.798710670142256e-05,1.572337728048242e-05,1.7987106700514756e-05,8.663136463001138,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
0.18,1500.0,0.004,0,variance_corrected,8.159633333333336,0.2405173415775633,0.2560938231682069,0.08795143356063363,0.10222253063891103,2.5052581027643304,0.8603918628400196,8.159633333333336,8.400150674910897,0.9999988127346626,0.9999988127346626,1.187265337376786e-06,1.8259818906134504e-06,1.187265336051322e-06,8.85987070199917,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
0.18,1500.0,0.004,0,joint_gaussian,8.159633333333336,0.003269720363773924,0.08821630244131685,0.08815568583568849,0.10222253063891103,0.8629829636377374,0.8623899768935285,8.159633333333336,8.162903053697109,0.999997795506547,0.999997795506547,2.2044934530063287e-06,2.9985871277621886e-06,2.204493451634687e-06,30.058758450002642,2.0,False,0.001,0.0001,2.0,True,-1.6543612251060553e-24,1.9337527113407217e-11
0.18,1500.0,0.004,1,mean_only,8.150300000000001,-1.0255330061538284,1.0304165540938206,0.10020143831140828,0.10733677315169678,9.59984657483186,0.9335238555177704,8.150300000000001,7.124766993846173,0.9999819921301707,0.9999819921301707,1.8007869829306244e-05,1.580640429313828e-05,1.8007869827535915e-05,8.51942651400168,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
0.18,1500.0,0.004,1,variance_corrected,8.150300000000001,0.2466919280045523,0.26639041586560924,0.10053330951704019,0.10733677315169678,2.481818747142001,0.9366157241839067,8.150300000000001,8.396991928004553,0.9999988111037611,0.9999988111037611,1.1888962389017266e-06,1.8375795081235188e-06,1.1888962366553584e-06,10.729343052007607,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
