amplitude,time_s,input_u,mc_hz,mean_only_hz,variance_corrected_hz,joint_gaussian_hz
0.006,5.228000000000001,0.006,8.130288822498764,7.156094976562872,8.433366220569766,8.175533180828365
0.006,5.229,0.006,8.128730790409001,7.156094956845548,8.433366219050141,8.175533178200377
0.006,5.23,0.006,8.127245785289231,7.156094937128233,8.433366217530525,8.175533175572392
0.006,5.231,0.006,8.12584508236874,7.1560949174109085,8.433366216010903,8.175533172944393
0.006,5.232,0.006,8.124543562016934,7.1560948976935865,8.433366214491276,8.175533170316406
0.006,5.2330000000000005,0.006,8.123322206250469,7.156094877976277,8.43336621297166,8.175533167688418
0.006,5.234,0.006,8.122199720079593,7.156094858258956,8.433366211452029,8.175533165060429
0.006,5.235,0.006,8.12116977088171,7.156094838541642,8.433366209932405,8.17553316243244
0.006,5.236000000000001,0.006,8.12023977219979,7.156094818824327,8.433366208412796,8.175533159804447
0.006,5.237,0.006,8.119394251763342,7.156094799107003,8.43336620689316,8.17553315717646
0.006,5.238,0.006,8.118649443626776,7.156094779389686,8.433366205373542,8.175533154548468
0.006,5.239,0.006,8.117992820927757,7.156094759672371,8.433366203853922,8.175533151920476
0.006,5.24,0.006,8.117421461124001,7.156094739955054,8.4333662023343,8.175533149292487
0.006,5.2410000000000005,0.006,8.116937832423725,7.156094720237736,8.433366200814673,8.175533146664499
0.006,5.242,0.006,8.116532980453453,7.156094700520418,8.433366199295051,8.17553314403651
0.006,5.243,0.006,8.11620344270382,7.156094680803105,8.433366197775426,8.175533141408511
0.006,5.244000000000001,0.006,8.115936105763197,7.156094661085779,8.433366196255806,8.175533138780528
0.006,5.245,0.006,8.115735432767838,7.156094641368467,8.433366194736175,8.175533136152536
0.006,5.246,0.006,8.115587183497809,7.1560946216511505,8.433366193216562,8.175533133524542
0.006,5.247,0.006,8.115484736891496,7.156094601933835,8.433366191696939,8.175533130896563
0.006,5.248,0.006,8.115433823572062,7.156094582216523,8.43336619017731,8.175533128268563
0.006,5.2490000000000006,0.006,8.11541509301787,7.156094562499201,8.433366188657693,8.175533125640577
0.006,5.25,0.006,8.115425385579112,7.156094542781886,8.433366187138068,8.175533123012592
0.006,5.251,0.006,8.11546237999642,7.1560945230645725,8.433366185618443,8.175533120384598
0.006,5.252000000000001,0.006,8.115515204825272,7.156094503347258,8.433366184098821,8.175533117756606
0.006,5.253,0.006,8.115585980802411,7.15609448362994,8.4333661825792,8.175533115128616
0.006,5.2540000000000004,0.006,8.11566434312104,7.1560944639126305,8.433366181059574,8.175533112500627
0.006,5.255,0.006,8.115747773602752,7.156094444195303,8.433366179539954,8.175533109872635
0.006,5.256,0.006,8.115830149689497,7.1560944244779945,8.433366178020343,8.175533107244648
0.006,5.257000000000001,0.006,8.115919494549047,7.156094404760673,8.433366176500714,8.175533104616656
0.006,5.258,0.006,8.116007326364874,7.156094385043357,8.433366174981076,8.175533101988666
0.006,5.259,0.006,8.116093720436414,7.156094365326041,8.433366173461462,8.17553309936068
0.006,5.260000000000001,0.006,8.116183244362794,7.156094345608727,8.433366171941836,8.175533096732694
0.006,5.261,0.006,8.11627857067457,7.156094325891418,8.433366170422216,8.175533094104702
0.006,5.2620000000000005,0.006,8.116374168552277,7.156094306174089,8.433366168902593,8.175533091476703
0.006,5.263,0.006,8.116488173696448,7.156094286456788,8.43336616738297,8.175533088848717
0.006,5.264,0.006,8.116617029006944,7.156094266739476,8.433366165863346,8.17553308622073
0.006,5.265000000000001,0.006,8.116766898996369,7.156094247022158,8.43336616434373,8.175533083592741
0.006,5.266,0.006,8.116948223746776,7.156094227304843,8.433366162824106,8.17553308096475
0.006,5.267,0.006,8.117169832061998,7.1560942075875245,8.43336616130448,8.17553307833676
0.006,5.268000000000001,0.006,8.117430559138613,7.15609418787021,8.43336615978486,8.175533075708769
0.006,5.269,0.006,8.11774454643939,7.156094168152899,8.433366158265233,8.17553307308078
0.006,5.2700000000000005,0.006,8.11811461413833,7.156094148435589,8.433366156745617,8.17553307045279
0.006,5.271,0.006,8.118550914330354,7.156094128718268,8.433366155225992,8.175533067824803
0.006,5.272,0.006,8.119068085581251,7.1560941090009536,8.433366153706363,8.175533065196802
