chi_target,theta1,sigma,Seed,Closure,mc_mean_hz,bias_hz_50ms,rmse_hz_50ms,crmse_hz_50ms,mc_std_hz_50ms,nrmse_50ms,centered_nrmse_50ms,mc_mean_hz_50ms,closure_mean_hz_50ms,mass_min,mass_final,mass_error_max,tail_mass_max,cum_leak_final,runtime_s,pde_kappa,use_jensen,dr,dt,R_max
0.045,2500.0,0.0012,1,mean_only,7.366500000000002,-0.23684099128617703,0.25706231224353815,0.09993686618348258,0.11341668055559187,2.2665300287777113,0.8811478672618877,7.366500000000002,7.129659008713824,0.9999820841042637,0.9999820841042637,1.7915895736297927e-05,1.5966891054120984e-05,1.791589573518453e-05,6.442763372000627,2.0,False,0.001,0.0001,2.0
0.045,2500.0,0.0012,1,variance_corrected,7.366500000000002,0.06442254212088162,0.11912924091750454,0.10020734558037184,0.11341668055559187,1.050367902974489,0.8835326963325699,7.366500000000002,7.430922542120883,0.9999904777761287,0.9999904777761287,9.522223871294422e-06,9.67262447017886e-06,9.522223867852471e-06,6.745229758998903,2.0,True,0.001,0.0001,2.0
0.18,1500.0,0.004,0,mean_only,8.1501,-1.0308273153095644,1.0348034490441267,0.09062684020364307,0.1118024191577364,9.255644527549755,0.8105982042819864,8.1501,7.1192726846904355,0.9999818568591802,0.9999818568591802,1.8143140819826264e-05,1.5972814665110584e-05,1.8143140818223732e-05,6.401330016000429,2.0,False,0.001,0.0001,2.0
0.18,1500.0,0.004,0,variance_corrected,8.1501,0.24050890617310186,0.25652129932204404,0.0892112271930378,0.1118024191577364,2.294416357486246,0.7979364656427888,8.1501,8.390608906173103,0.9999988003258967,0.9999988003258967,1.1996741032804792e-06,1.860647523500818e-06,1.1996741020584302e-06,6.619786151997687,2.0,True,0.001,0.0001,2.0
0.18,1500.0,0.004,1,mean_only,8.148133333333334,-1.023941252882601,1.0289506412673313,0.10140874128822108,0.10773675436836154,9.550599953561415,0.9412641199631426,8.148133333333334,7.124192080450734,0.9999818561296383,0.9999818561296383,1.8143870361697623e-05,1.6238835528957188e-05,1.8143870359662365e-05,6.450555716997769,2.0,False,0.001,0.0001,2.0
0.18,1500.0,0.004,1,variance_corrected,8.148133333333334,0.24819192632677353,0.2682930720599715,0.10189180644969673,0.10773675436836154,2.4902650319560737,0.9457478745026937,8.148133333333334,8.39632525966011,0.9999988001892487,0.9999988001892487,1.1998107513067069e-06,1.8631517276597755e-06,1.1998107501575415e-06,6.597127304001333,2.0,True,0.001,0.0001,2.0
0.18,2000.0,0.003,0,mean_only,8.136566666666669,-1.0126779843903542,1.0165795648528027,0.08897927628051125,0.10214777387699699,9.952048157965093,0.871083851398046,8.136566666666669,7.1238886822763146,0.9999819119466108,0.9999819119466108,1.8088053389209158e-05,1.594438373623089e-05,1.808805338844543e-05,6.5485028229995805,2.0,False,0.001,0.0001,2.0
0.18,2000.0,0.003,0,variance_corrected,8.136566666666669,0.25939830917445794,0.27458510842754413,0.0900527565796767,0.10214777387699699,2.68811642198087,0.8815929428683906,8.136566666666669,8.395964975841126,0.9999988046703399,0.9999988046703399,1.1953296601419083e-06,1.8567718161093032e-06,1.195329659459079e-06,6.753358832000231,2.0,True,0.001,0.0001,2.0
0.18,2000.0,0.003,1,mean_only,8.133666666666668,-1.0104516342615553,1.0154851935943339,0.10098352948611823,0.12015479810155229,8.451474345086638,0.8404452513063115,8.133666666666668,7.1232150324051124,0.9999819328255126,0.9999819328255126,1.806717448737949e-05,1.582533803829804e-05,1.806717448543053e-05,6.444435860001249,2.0,False,0.001,0.0001,2.0
0.18,2000.0,0.003,1,variance_corrected,8.133666666666668,0.26151435428811703,0.2799744902893362,0.09997978652729167,0.12015479810155229,2.330114941000589,0.8320915028527689,8.133666666666668,8.395181020954785,0.9999988063037392,0.9999988063037392,1.193696260837207e-06,1.8294029491541524e-06,1.193696258400006e-06,6.575215755001409,2.0,True,0.001,0.0001,2.0
