age_s,count,mean_v,mean_a,var_v,var_a,cov_va,term_v,term_a,term_cov,hazard_empirical_hz,hazard_mean_hz,hazard_voltage_only_hz,hazard_full_gaussian_hz
0.3025,248598.0,-2.4033106175675574e-05,-4.130746368546024e-06,8.819355304664296e-08,5.819175547463683e-10,2.903795641447206e-09,0.17638710609328592,0.027943680978920606,-0.05691439457236524,8.495793240481152,7.333222874879987,8.747799719799692,8.498005548070854
0.3075,237299.0,-2.3472170988702897e-05,-4.127580267948713e-06,8.841897321820737e-08,5.803360178662167e-10,2.9047292800173868e-09,0.17683794643641476,0.027867735577935728,-0.05693269388834078,8.50905331613836,7.341226631325407,8.761296454482949,8.510314792332325
0.3125,229458.0,-2.531368461675473e-05,-4.195267089553642e-06,8.85620278472165e-08,5.821810250667267e-10,2.927946452565552e-09,0.177124055694433,0.027956332823704213,-0.05738775047028482,8.481394879062723,7.319091792729179,8.737379391690615,8.483973271959696
0.3175,218398.0,-2.4586142025410768e-05,-4.230414292915526e-06,8.888620286937033e-08,5.822838592856163e-10,2.9524704446810694e-09,0.17777240573874065,0.027961270922895295,-0.057868420715748964,8.497523925758241,7.332274559522636,8.758793627931883,8.500721412601774
0.3225,210021.0,-2.485970993449164e-05,-4.316701646580102e-06,8.898625130678953e-08,5.836756277377892e-10,2.956113468643349e-09,0.17797250261357908,0.028028103643968637,-0.05793982398540964,8.502596881663495,7.334463425300092,8.763161650863927,8.504921862302824
0.3275,200593.0,-2.4633905603083144e-05,-4.3305033103958064e-06,8.913545999323318e-08,5.826586210307189e-10,2.9477539508508672e-09,0.17827091998646638,0.027979266981895123,-0.057775977436677,8.51240377437918,7.338769028225212,8.770922958092846,8.51343352590512
0.3325,194614.0,-2.366755784126295e-05,-4.385146313240484e-06,8.958091037871358e-08,5.84861635030845e-10,2.9528323571135965e-09,0.17916182075742718,0.028085055714181177,-0.05787551419942649,8.54326650445445,7.35690492784767,8.800434884397728,8.542132470706035
0.3375,184363.0,-2.3945037716909672e-05,-4.399870585450036e-06,8.924539136675716e-08,5.843651100262807e-10,2.934127131421448e-09,0.17849078273351432,0.028061212583462,-0.05750889177586038,8.537940751731487,7.3538843476732625,8.790920601524007,8.535822844373458
0.3425,176621.0,-2.4751458497068038e-05,-4.437170310173212e-06,8.84540618894603e-08,5.858838391224956e-10,2.913906582551468e-09,0.1769081237789206,0.028134141954662236,-0.05711256901800877,8.515469103316537,7.344717534504354,8.7660777883202,8.515695998958037
0.34750000000000003,169243.0,-2.5341551004628826e-05,-4.4757678853847425e-06,8.793001729917306e-08,5.854329675792615e-10,2.881221708069634e-09,0.17586003459834612,0.02811249110315614,-0.05647194547816482,8.503920562156885,7.338829955171965,8.749875378980397,8.505219241679681
0.3525,161980.0,-2.5140561517953276e-05,-4.493259306628342e-06,8.84543504150344e-08,5.862783959592949e-10,2.874004438772735e-09,0.1769087008300688,0.02815308857396534,-0.056330486999945605,8.518152865071432,7.3430392095186825,8.764079728801004,8.52057750288719
0.3575,156528.0,-2.4376335142663504e-05,-4.499280332887118e-06,8.923679423690056e-08,5.851462732932514e-10,2.9084186981535225e-09,0.17847358847380113,0.028098724043541932,-0.05700500648380904,8.540582046701212,7.354705239009447,8.791750735821886,8.541251844036
0.3625,149149.0,-2.4224405962080982e-05,-4.511368254718002e-06,8.882479107939264e-08,5.860749721738434e-10,2.913293803520484e-09,0.17764958215878526,0.028143320163787962,-0.057100558549001486,8.539011509499447,7.357811934053547,8.788219919011146,8.537386587311897
0.3675,143186.0,-2.443243589398887e-05,-4.543823408746976e-06,8.796720078986281e-08,5.867084378367955e-10,2.928436886674955e-09,0.17593440157972562,0.02817373918492292,-0.05739736297882912,8.520719373074401,7.357090908565307,8.772299732446799,8.51965098162001
0.3725,136813.0,-2.5430598776977127e-05,-4.57463106937376e-06,8.84685703285775e-08,5.870083552539218e-10,2.9338141315021437e-09,0.176937140657155,0.028188141219293326,-0.05750275697744202,8.511314151199544,7.3446355303120585,8.766234279621402,8.512985569821684
0.3775,132403.0,-2.4075716468041056e-05,-4.579938081173526e-06,8.857502638099323e-08,5.875034712895038e-10,2.9234789456341047e-09,0.17715005276198648,0.028211916691321972,-0.05730018733442845,8.541956295948289,7.364947784874729,8.792349892691492,8.540279557870164
0.3825,125459.0,-2.357128608063274e-05,-4.5872993852498306e-06,8.88146828533633e-08,5.872352211672866e-10,2.945112357174123e-09,0.1776293657067266,0.028199035320453102,-0.057724202200612806,8.550541756763417,7.3729136096397,8.806079432128026,8.549879255119889
0.3875,120461.0,-2.3157099765406e-05,-4.604046383396576e-06,8.818073407528352e-08,5.874881597962418e-10,2.96098885670045e-09,0.17636146815056705,0.02821118143341553,-0.05803538159132882,8.542537854946548,7.380234808871377,8.803654533529102,8.544969293183872
0.3925,115261.0,-2.3004051823488553e-05,-4.652562918447626e-06,8.80649620583052e-08,5.883615889818812e-10,2.977307233145362e-09,0.1761299241166104,0.028253123502909934,-0.05835522176964909,8.544913199067226,7.386005144523906,8.80849799769924,8.547294830600435
0.3975,111307.0,-2.3771109136460567e-05,-4.666550248803206e-06,8.785746380411339e-08,5.892810781669467e-10,2.9566477593865704e-09,0.1757149276082268,0.02829727737357678,-0.05795029608397678,8.532482388211871,7.375693813187232,8.792551140912344,8.535653181373785
0.4025,105943.0,-2.5005142262875947e-05,-4.675538415589055e-06,8.765053916544153e-08,5.897818492894049e-10,2.9280139350367127e-09,0.17530107833088304,0.028321324402877223,-0.05738907312671957,8.5178699877525,7.358160665629817,8.768020517777442,8.51682246835051
0.40750000000000003,101585.0,-2.4820189382025137e-05,-4.687840081251816e-06,8.774441672243355e-08,5.883478137015431e-10,2.9083761660576087e-09,0.1754888334448671,0.0282524620139481,-0.057004172854729133,8.522945977951595,7.361770449611823,8.773969157102101,8.525294573393051
0.41250000000000003,97076.0,-2.2191909900218866e-05,-4.6369320765239385e-06,8.766998383314058e-08,5.890887246378429e-10,2.9034737764280236e-09,0.17533996766628115,0.028288040557109217,-0.05690808601798926,8.56378966237414,7.396878704572544,8.814499907201972,8.565804333908433
0.4175,94014.0,-2.315441977299794e-05,-4.667382871878475e-06,8.775252784322586e-08,5.879446525882477e-10,2.885886408476752e-09,0.17550505568645172,0.028233102217287653,-0.05656337360614434,8.553741084914195,7.384856707392478,8.801626802196157,8.555773317565478
0.4225,88964.0,-2.2234770802415057e-05,-4.593337051521533e-06,8.80516169450393e-08,5.861109445121496e-10,2.900376287684411e-09,0.1761032338900786,0.028145047555473424,-0.05684737523861445,8.56500313135742,7.39308542605494,8.816706568821047,8.56724377509829
0.4275,85550.0,-2.1092388668958902e-05,-4.634442721539425e-06,8.812808542962789e-08,5.842656251722228e-10,2.9015453272830453e-09,0.1762561708592558,0.028056435320770137,-0.056870288414747686,8.589732806337391,7.412981805989425,8.84178635146402,8.59065581228166
0.4325,81738.0,-2.0842280421261656e-05,-4.545405021956803e-06,8.787412045131084e-08,5.842670486022512e-10,2.886797558650915e-09,0.17574824090262167,0.0280565036738801,-0.05658123214955794,8.586487584932081,7.410222074096772,8.834006502718099,8.585578875590155
0.4375,78915.0,-2.2819084061198052e-05,-4.629613322148989e-06,8.890434509439352e-08,5.843475510586643e-10,2.9412162381719446e-09,0.17780869018878703,0.028060369401837062,-0.05764783826817011,8.565058727569582,7.387076410696316,8.824577555632429,8.567305425635533
0.4425,75035.0,-2.2582749010699904e-05,-4.584701970899799e-06,8.939357994282066e-08,5.856213428989575e-10,2.997985412146995e-09,0.1787871598856413,0.02812153688600794,-0.058760514078081104,8.569129934134944,7.387316781642926,8.833503790530408,8.566958458761237
0.4475,72189.0,-2.245138060375048e-05,-4.689187957252423e-06,8.859114138654208e-08,5.864961136756419e-10,3.010360036448376e-09,0.17718228277308415,0.028163543378704324,-0.05900305671438817,8.559323425488543,7.39682815613366,8.830693614299836,8.562515811720866
0.4525,68897.0,-2.343532137777259e-05,-4.622872873716861e-06,8.823611148504165e-08,5.89379922040021e-10,3.012858402011528e-09,0.1764722229700833,0.028302023856361807,-0.05905202467942595,8.529299816177184,7.377490288058252,8.801355417829896,8.534832521962665
0.4575,66804.0,-2.4044714344746565e-05,-4.669554980103957e-06,8.776371801075646e-08,5.896508328192201e-10,2.9822442323270355e-09,0.1755274360215129,0.02831503299197895,-0.0584519869536099,8.522043668899379,7.371875932554211,8.78635233079049,8.525508693451146
0.4625,63399.0,-2.2440348418091984e-05,-4.625256829513866e-06,8.847116072584004e-08,5.918108963130549e-10,2.9650215888746597e-09,0.17694232145168007,0.0284187592409529,-0.05811442314194333,8.566036193748417,7.39235841538007,8.82323992979016,8.565080047730548
0.4675,60883.0,-2.3005118911087442e-05,-4.726364466970995e-06,8.859173132416407e-08,5.908647410041997e-10,2.9513285163951428e-09,0.17718346264832813,0.02837332486302167,-0.0578460389213448,8.562721804249687,7.391333268822445,8.824143961657121,8.567867620270718
